IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.85.123,4,4,0.00,7.67,0.00,N/A
104.24.53.117,4,4,0.00,7.79,0.00,N/A
104.24.76.103,4,4,0.00,7.82,0.00,N/A
104.24.140.114,4,4,0.00,7.86,0.00,N/A
104.24.7.51,4,4,0.00,8.00,0.00,N/A
104.24.35.95,4,4,0.00,8.07,0.00,N/A
104.24.42.10,4,4,0.00,8.23,0.00,N/A
190.93.246.3,4,4,0.00,8.91,0.00,N/A
190.93.244.30,4,4,0.00,9.02,0.00,N/A
190.93.245.187,4,4,0.00,9.08,0.00,N/A
104.24.180.26,4,4,0.00,9.19,0.00,N/A
104.24.206.150,4,4,0.00,9.26,0.00,N/A
104.24.157.19,4,4,0.00,9.28,0.00,N/A
190.93.247.55,4,4,0.00,9.28,0.00,N/A
104.24.176.254,4,4,0.00,9.48,0.00,N/A
104.24.168.121,4,4,0.00,9.60,0.00,N/A
104.24.243.176,4,4,0.00,9.65,0.00,N/A
104.24.192.178,4,4,0.00,9.70,0.00,N/A
104.24.137.51,4,4,0.00,9.89,0.00,N/A
104.24.73.64,4,4,0.00,9.90,0.00,N/A
104.24.74.164,4,4,0.00,9.91,0.00,N/A
104.24.62.49,4,4,0.00,9.93,0.00,N/A
104.24.129.203,4,4,0.00,9.98,0.00,N/A
104.24.163.44,4,4,0.00,9.99,0.00,N/A
104.24.132.221,4,4,0.00,10.01,0.00,N/A
104.24.167.41,4,4,0.00,10.03,0.00,N/A
104.24.142.27,4,4,0.00,10.08,0.00,N/A
104.24.222.245,4,4,0.00,10.23,0.00,N/A
104.24.29.200,4,4,0.00,10.23,0.00,N/A
104.24.46.19,4,4,0.00,10.24,0.00,N/A
104.24.36.4,4,4,0.00,10.25,0.00,N/A
104.24.68.29,4,4,0.00,10.25,0.00,N/A
104.24.56.160,4,4,0.00,10.27,0.00,N/A
104.24.84.110,4,4,0.00,10.29,0.00,N/A
104.24.226.179,4,4,0.00,10.29,0.00,N/A
104.24.79.237,4,4,0.00,10.30,0.00,N/A
104.24.165.103,4,4,0.00,10.42,0.00,N/A
104.24.172.252,4,4,0.00,10.43,0.00,N/A
104.24.47.248,4,4,0.00,10.50,0.00,N/A
104.24.86.97,4,4,0.00,10.50,0.00,N/A
104.24.173.84,4,4,0.00,10.57,0.00,N/A
104.24.58.19,4,4,0.00,10.59,0.00,N/A
104.24.152.144,4,4,0.00,10.63,0.00,N/A
104.24.161.59,4,4,0.00,10.64,0.00,N/A
104.24.34.0,4,4,0.00,10.70,0.00,N/A
104.24.225.77,4,4,0.00,10.71,0.00,N/A
104.24.0.33,4,4,0.00,10.75,0.00,N/A
104.24.162.144,4,4,0.00,10.81,0.00,N/A
104.24.182.17,4,4,0.00,10.88,0.00,N/A
104.24.159.185,4,4,0.00,11.00,0.00,N/A
104.24.224.157,4,4,0.00,11.05,0.00,N/A
104.24.147.206,4,4,0.00,11.15,0.00,N/A
104.24.235.151,4,4,0.00,11.21,0.00,N/A
104.24.81.132,4,4,0.00,11.30,0.00,N/A
104.24.93.34,4,4,0.00,11.31,0.00,N/A
104.24.75.154,4,4,0.00,11.31,0.00,N/A
104.24.13.50,4,4,0.00,11.36,0.00,N/A
104.24.223.5,4,4,0.00,11.39,0.00,N/A
104.24.55.240,4,4,0.00,11.40,0.00,N/A
104.24.45.236,4,4,0.00,11.42,0.00,N/A
104.24.191.140,4,4,0.00,11.43,0.00,N/A
104.24.87.97,4,4,0.00,11.44,0.00,N/A
104.24.199.143,4,4,0.00,11.44,0.00,N/A
104.24.174.186,4,4,0.00,11.49,0.00,N/A
104.24.185.142,4,4,0.00,11.56,0.00,N/A
104.24.177.168,4,4,0.00,11.58,0.00,N/A
104.24.158.134,4,4,0.00,11.59,0.00,N/A
104.24.92.79,4,4,0.00,11.61,0.00,N/A
104.24.1.4,4,4,0.00,11.62,0.00,N/A
104.24.38.195,4,4,0.00,11.64,0.00,N/A
104.24.37.111,4,4,0.00,11.64,0.00,N/A
104.24.54.175,4,4,0.00,11.66,0.00,N/A
104.24.49.84,4,4,0.00,11.67,0.00,N/A
104.24.12.212,4,4,0.00,11.75,0.00,N/A
104.24.151.194,4,4,0.00,11.77,0.00,N/A
104.24.134.205,4,4,0.00,11.87,0.00,N/A
104.24.72.106,4,4,0.00,11.96,0.00,N/A
104.24.59.30,4,4,0.00,12.08,0.00,N/A
104.24.200.160,4,4,0.00,12.23,0.00,N/A
104.24.22.211,4,4,0.00,12.32,0.00,N/A
104.24.32.140,4,4,0.00,12.41,0.00,N/A
104.24.202.78,4,4,0.00,12.57,0.00,N/A
104.24.227.241,4,4,0.00,12.77,0.00,N/A
104.24.63.100,4,4,0.00,13.24,0.00,N/A
104.24.244.27,4,4,0.00,13.50,0.00,N/A
104.24.207.170,4,4,0.00,13.74,0.00,N/A
104.24.248.114,4,4,0.00,13.76,0.00,N/A
104.25.194.96,4,4,0.00,13.99,0.00,N/A
104.25.202.42,4,4,0.00,13.99,0.00,N/A
104.25.246.196,4,4,0.00,14.02,0.00,N/A
104.24.184.141,4,4,0.00,14.27,0.00,N/A
104.24.228.160,4,4,0.00,14.27,0.00,N/A
104.25.199.91,4,4,0.00,14.33,0.00,N/A
104.25.204.59,4,4,0.00,14.41,0.00,N/A
104.25.201.161,4,4,0.00,14.48,0.00,N/A
104.25.197.135,4,4,0.00,14.49,0.00,N/A
104.24.231.209,4,4,0.00,14.59,0.00,N/A
104.24.219.187,4,4,0.00,14.62,0.00,N/A
104.24.230.186,4,4,0.00,14.65,0.00,N/A
104.24.183.187,4,4,0.00,14.67,0.00,N/A
104.24.204.237,4,4,0.00,14.76,0.00,N/A
104.25.206.164,4,4,0.00,14.96,0.00,N/A
104.24.246.40,4,4,0.00,15.05,0.00,N/A
104.24.166.97,4,4,0.00,15.18,0.00,N/A
104.24.48.89,4,4,0.00,15.41,0.00,N/A
104.24.50.81,4,4,0.00,15.41,0.00,N/A
104.25.207.224,4,4,0.00,15.41,0.00,N/A
104.24.171.181,4,4,0.00,15.44,0.00,N/A
104.24.6.155,4,4,0.00,15.45,0.00,N/A
104.24.66.141,4,4,0.00,15.48,0.00,N/A
104.24.245.2,4,4,0.00,15.52,0.00,N/A
104.24.232.184,4,4,0.00,15.54,0.00,N/A
104.25.18.184,4,4,0.00,15.54,0.00,N/A
104.25.15.155,4,4,0.00,15.54,0.00,N/A
104.24.4.154,4,4,0.00,15.70,0.00,N/A
172.64.83.18,4,4,0.00,15.71,0.00,N/A
104.25.196.195,4,4,0.00,15.79,0.00,N/A
172.65.34.91,4,4,0.00,15.82,0.00,N/A
104.24.40.8,4,4,0.00,15.84,0.00,N/A
172.67.154.214,4,4,0.00,16.04,0.00,N/A
104.24.205.103,4,4,0.00,16.04,0.00,N/A
104.24.201.59,4,4,0.00,16.08,0.00,N/A
104.16.24.172,4,4,0.00,16.12,0.00,N/A
104.24.181.18,4,4,0.00,16.13,0.00,N/A
104.25.185.110,4,4,0.00,16.20,0.00,N/A
104.24.217.91,4,4,0.00,16.20,0.00,N/A
172.66.0.184,4,4,0.00,16.31,0.00,N/A
104.24.27.58,4,4,0.00,16.32,0.00,N/A
104.25.195.175,4,4,0.00,16.40,0.00,N/A
104.24.247.3,4,4,0.00,16.41,0.00,N/A
104.24.239.211,4,4,0.00,16.45,0.00,N/A
104.24.203.254,4,4,0.00,16.49,0.00,N/A
104.27.122.203,4,4,0.00,16.55,0.00,N/A
104.24.237.101,4,4,0.00,16.55,0.00,N/A
104.25.176.228,4,4,0.00,16.56,0.00,N/A
104.25.175.82,4,4,0.00,16.57,0.00,N/A
104.25.200.81,4,4,0.00,16.58,0.00,N/A
104.24.238.236,4,4,0.00,16.66,0.00,N/A
104.24.186.175,4,4,0.00,16.71,0.00,N/A
104.25.170.3,4,4,0.00,16.74,0.00,N/A
104.24.240.134,4,4,0.00,16.78,0.00,N/A
172.64.74.184,4,4,0.00,16.79,0.00,N/A
104.24.229.92,4,4,0.00,16.81,0.00,N/A
104.25.10.199,4,4,0.00,16.85,0.00,N/A
172.64.176.200,4,4,0.00,16.85,0.00,N/A
172.67.109.228,4,4,0.00,16.87,0.00,N/A
104.24.24.154,4,4,0.00,16.89,0.00,N/A
104.25.171.178,4,4,0.00,16.97,0.00,N/A
104.24.218.131,4,4,0.00,17.03,0.00,N/A
104.24.169.244,4,4,0.00,17.04,0.00,N/A
104.25.168.156,4,4,0.00,17.08,0.00,N/A
104.24.178.170,4,4,0.00,17.12,0.00,N/A
104.24.187.85,4,4,0.00,17.14,0.00,N/A
104.25.191.125,4,4,0.00,17.19,0.00,N/A
172.67.217.126,4,4,0.00,17.20,0.00,N/A
104.26.0.203,4,4,0.00,17.30,0.00,N/A
104.24.196.140,4,4,0.00,17.35,0.00,N/A
104.24.197.123,4,4,0.00,17.45,0.00,N/A
104.27.124.92,4,4,0.00,17.49,0.00,N/A
172.67.216.74,4,4,0.00,17.49,0.00,N/A
104.24.155.50,4,4,0.00,17.57,0.00,N/A
104.27.73.72,4,4,0.00,17.63,0.00,N/A
104.27.39.177,4,4,0.00,17.71,0.00,N/A
104.25.148.83,4,4,0.00,17.75,0.00,N/A
104.25.180.97,4,4,0.00,17.76,0.00,N/A
104.25.249.47,4,4,0.00,17.80,0.00,N/A
104.25.142.43,4,4,0.00,17.80,0.00,N/A
172.65.57.60,4,4,0.00,17.80,0.00,N/A
104.24.69.100,4,4,0.00,17.98,0.00,N/A
172.67.86.200,4,4,0.00,17.99,0.00,N/A
104.27.79.187,4,4,0.00,18.03,0.00,N/A
104.27.30.185,4,4,0.00,18.03,0.00,N/A
172.65.238.208,4,4,0.00,18.03,0.00,N/A
104.24.31.178,4,4,0.00,18.03,0.00,N/A
104.27.115.147,4,4,0.00,18.04,0.00,N/A
104.24.220.13,4,4,0.00,18.07,0.00,N/A
172.67.97.195,4,4,0.00,18.08,0.00,N/A
172.67.247.200,4,4,0.00,18.10,0.00,N/A
172.67.89.8,4,4,0.00,18.11,0.00,N/A
104.25.186.5,4,4,0.00,18.13,0.00,N/A
104.25.184.202,4,4,0.00,18.15,0.00,N/A
104.24.160.23,4,4,0.00,18.19,0.00,N/A
172.67.92.151,4,4,0.00,18.21,0.00,N/A
104.25.173.49,4,4,0.00,18.23,0.00,N/A
104.25.164.64,4,4,0.00,18.23,0.00,N/A
104.27.116.190,4,4,0.00,18.23,0.00,N/A
104.24.252.71,4,4,0.00,18.27,0.00,N/A
172.67.175.28,4,4,0.00,18.32,0.00,N/A
104.27.114.241,4,4,0.00,18.41,0.00,N/A
104.24.8.219,4,4,0.00,18.46,0.00,N/A
104.25.172.117,4,4,0.00,18.49,0.00,N/A
172.67.64.212,4,4,0.00,18.51,0.00,N/A
104.24.83.225,4,4,0.00,18.53,0.00,N/A
104.27.95.194,4,4,0.00,18.58,0.00,N/A
172.67.172.13,4,4,0.00,18.58,0.00,N/A
172.67.213.245,4,4,0.00,18.61,0.00,N/A
104.24.242.235,4,4,0.00,18.64,0.00,N/A
172.67.91.75,4,4,0.00,18.65,0.00,N/A
104.25.244.92,4,4,0.00,18.67,0.00,N/A
172.67.96.109,4,4,0.00,18.70,0.00,N/A
172.65.33.254,4,4,0.00,18.71,0.00,N/A
104.25.157.164,4,4,0.00,18.71,0.00,N/A
172.67.171.112,4,4,0.00,18.72,0.00,N/A
104.25.177.177,4,4,0.00,18.73,0.00,N/A
104.25.179.56,4,4,0.00,18.75,0.00,N/A
104.27.117.34,4,4,0.00,18.75,0.00,N/A
104.25.190.119,4,4,0.00,18.77,0.00,N/A
172.66.3.155,4,4,0.00,18.78,0.00,N/A
104.24.215.162,4,4,0.00,18.78,0.00,N/A
104.25.5.20,4,4,0.00,18.78,0.00,N/A
172.67.164.78,4,4,0.00,18.79,0.00,N/A
172.67.99.10,4,4,0.00,18.82,0.00,N/A
172.67.218.30,4,4,0.00,18.82,0.00,N/A
172.67.112.17,4,4,0.00,18.82,0.00,N/A
172.66.46.181,4,4,0.00,18.85,0.00,N/A
172.67.134.135,4,4,0.00,18.85,0.00,N/A
104.25.209.174,4,4,0.00,18.88,0.00,N/A
172.66.40.103,4,4,0.00,18.89,0.00,N/A
104.17.10.33,4,4,0.00,18.92,0.00,N/A
172.65.185.11,4,4,0.00,18.94,0.00,N/A
104.27.60.191,4,4,0.00,18.98,0.00,N/A
172.67.253.22,4,4,0.00,19.01,0.00,N/A
104.25.93.99,4,4,0.00,19.01,0.00,N/A
172.67.152.155,4,4,0.00,19.03,0.00,N/A
172.64.189.254,4,4,0.00,19.04,0.00,N/A
172.67.137.176,4,4,0.00,19.06,0.00,N/A
104.25.255.153,4,4,0.00,19.06,0.00,N/A
172.64.85.240,4,4,0.00,19.07,0.00,N/A
104.25.147.66,4,4,0.00,19.10,0.00,N/A
172.67.124.2,4,4,0.00,19.10,0.00,N/A
104.25.193.244,4,4,0.00,19.10,0.00,N/A
172.64.146.159,4,4,0.00,19.13,0.00,N/A
172.64.82.56,4,4,0.00,19.13,0.00,N/A
172.67.165.138,4,4,0.00,19.14,0.00,N/A
172.64.95.152,4,4,0.00,19.16,0.00,N/A
172.64.93.42,4,4,0.00,19.17,0.00,N/A
104.25.198.115,4,4,0.00,19.17,0.00,N/A
172.67.133.196,4,4,0.00,19.17,0.00,N/A
172.67.110.192,4,4,0.00,19.19,0.00,N/A
172.67.244.136,4,4,0.00,19.19,0.00,N/A
104.25.187.222,4,4,0.00,19.23,0.00,N/A
172.67.158.194,4,4,0.00,19.24,0.00,N/A
172.64.37.83,4,4,0.00,19.24,0.00,N/A
172.65.65.115,4,4,0.00,19.24,0.00,N/A
104.25.169.192,4,4,0.00,19.25,0.00,N/A
172.67.130.91,4,4,0.00,19.26,0.00,N/A
172.67.200.126,4,4,0.00,19.26,0.00,N/A
172.67.94.154,4,4,0.00,19.28,0.00,N/A
172.67.248.79,4,4,0.00,19.31,0.00,N/A
104.25.113.143,4,4,0.00,19.31,0.00,N/A
172.67.108.129,4,4,0.00,19.32,0.00,N/A
104.27.123.212,4,4,0.00,19.36,0.00,N/A
172.67.84.153,4,4,0.00,19.38,0.00,N/A
104.27.75.240,4,4,0.00,19.38,0.00,N/A
104.24.241.118,4,4,0.00,19.39,0.00,N/A
104.25.205.147,4,4,0.00,19.40,0.00,N/A
104.24.211.165,4,4,0.00,19.40,0.00,N/A
172.66.161.231,4,4,0.00,19.40,0.00,N/A
104.24.234.93,4,4,0.00,19.40,0.00,N/A
104.25.166.250,4,4,0.00,19.42,0.00,N/A
104.25.188.179,4,4,0.00,19.43,0.00,N/A
172.67.163.204,4,4,0.00,19.45,0.00,N/A
104.24.233.3,4,4,0.00,19.45,0.00,N/A
172.67.185.250,4,4,0.00,19.48,0.00,N/A
172.64.186.145,4,4,0.00,19.50,0.00,N/A
172.67.254.170,4,4,0.00,19.51,0.00,N/A
104.24.216.174,4,4,0.00,19.51,0.00,N/A
172.64.79.220,4,4,0.00,19.51,0.00,N/A
104.25.114.180,4,4,0.00,19.52,0.00,N/A
104.25.237.23,4,4,0.00,19.53,0.00,N/A
104.25.253.63,4,4,0.00,19.53,0.00,N/A
104.25.87.9,4,4,0.00,19.53,0.00,N/A
172.67.105.88,4,4,0.00,19.55,0.00,N/A
172.67.114.32,4,4,0.00,19.55,0.00,N/A
104.25.248.237,4,4,0.00,19.55,0.00,N/A
172.64.80.180,4,4,0.00,19.58,0.00,N/A
104.26.6.201,4,4,0.00,19.59,0.00,N/A
104.25.13.26,4,4,0.00,19.61,0.00,N/A
104.25.189.89,4,4,0.00,19.61,0.00,N/A
172.67.146.252,4,4,0.00,19.62,0.00,N/A
172.67.207.96,4,4,0.00,19.62,0.00,N/A
104.27.11.4,4,4,0.00,19.64,0.00,N/A
104.27.14.153,4,4,0.00,19.64,0.00,N/A
104.24.198.111,4,4,0.00,19.66,0.00,N/A
104.24.214.171,4,4,0.00,19.67,0.00,N/A
104.25.54.123,4,4,0.00,19.68,0.00,N/A
172.67.125.141,4,4,0.00,19.70,0.00,N/A
104.24.208.17,4,4,0.00,19.71,0.00,N/A
104.27.31.88,4,4,0.00,19.71,0.00,N/A
104.25.174.37,4,4,0.00,19.71,0.00,N/A
104.25.37.133,4,4,0.00,19.71,0.00,N/A
104.25.161.90,4,4,0.00,19.72,0.00,N/A
172.66.151.150,4,4,0.00,19.74,0.00,N/A
104.27.6.6,4,4,0.00,19.75,0.00,N/A
172.67.201.65,4,4,0.00,19.76,0.00,N/A
172.64.84.129,4,4,0.00,19.76,0.00,N/A
104.27.17.245,4,4,0.00,19.77,0.00,N/A
172.67.159.46,4,4,0.00,19.77,0.00,N/A
104.25.4.59,4,4,0.00,19.78,0.00,N/A
172.66.159.87,4,4,0.00,19.78,0.00,N/A
172.67.162.145,4,4,0.00,19.79,0.00,N/A
104.27.29.179,4,4,0.00,19.82,0.00,N/A
104.25.160.162,4,4,0.00,19.83,0.00,N/A
172.67.66.136,4,4,0.00,19.85,0.00,N/A
104.27.88.40,4,4,0.00,19.85,0.00,N/A
104.25.26.175,4,4,0.00,19.86,0.00,N/A
172.67.170.21,4,4,0.00,19.86,0.00,N/A
104.25.222.43,4,4,0.00,19.87,0.00,N/A
104.25.27.151,4,4,0.00,19.88,0.00,N/A
172.67.116.0,4,4,0.00,19.88,0.00,N/A
104.25.99.192,4,4,0.00,19.89,0.00,N/A
104.24.212.197,4,4,0.00,19.92,0.00,N/A
172.67.135.109,4,4,0.00,19.93,0.00,N/A
104.27.13.27,4,4,0.00,19.95,0.00,N/A
172.64.151.198,4,4,0.00,19.96,0.00,N/A
172.66.2.159,4,4,0.00,19.97,0.00,N/A
172.67.128.231,4,4,0.00,19.99,0.00,N/A
104.25.143.156,4,4,0.00,19.99,0.00,N/A
104.25.192.39,4,4,0.00,20.00,0.00,N/A
104.25.158.253,4,4,0.00,20.01,0.00,N/A
104.25.67.214,4,4,0.00,20.01,0.00,N/A
172.67.106.60,4,4,0.00,20.02,0.00,N/A
104.25.21.97,4,4,0.00,20.03,0.00,N/A
104.25.152.118,4,4,0.00,20.03,0.00,N/A
172.65.51.71,4,4,0.00,20.04,0.00,N/A
172.67.93.78,4,4,0.00,20.04,0.00,N/A
104.25.101.6,4,4,0.00,20.06,0.00,N/A
104.21.216.158,4,4,0.00,20.07,0.00,N/A
172.64.75.100,4,4,0.00,20.08,0.00,N/A
104.21.214.226,4,4,0.00,20.08,0.00,N/A
172.67.131.52,4,4,0.00,20.10,0.00,N/A
104.25.109.149,4,4,0.00,20.11,0.00,N/A
104.25.50.146,4,4,0.00,20.12,0.00,N/A
104.21.215.119,4,4,0.00,20.12,0.00,N/A
104.27.118.66,4,4,0.00,20.12,0.00,N/A
104.24.189.239,4,4,0.00,20.13,0.00,N/A
104.27.2.221,4,4,0.00,20.14,0.00,N/A
104.25.219.171,4,4,0.00,20.14,0.00,N/A
104.27.109.134,4,4,0.00,20.15,0.00,N/A
104.25.233.198,4,4,0.00,20.16,0.00,N/A
104.25.24.31,4,4,0.00,20.17,0.00,N/A
104.26.4.246,4,4,0.00,20.18,0.00,N/A
172.65.59.20,4,4,0.00,20.20,0.00,N/A
172.65.179.36,4,4,0.00,20.21,0.00,N/A
104.25.98.196,4,4,0.00,20.23,0.00,N/A
104.27.84.23,4,4,0.00,20.24,0.00,N/A
104.25.150.187,4,4,0.00,20.24,0.00,N/A
104.16.4.241,4,4,0.00,20.25,0.00,N/A
104.21.203.202,4,4,0.00,20.26,0.00,N/A
104.25.133.126,4,4,0.00,20.26,0.00,N/A
104.25.17.93,4,4,0.00,20.26,0.00,N/A
104.25.55.230,4,4,0.00,20.28,0.00,N/A
104.25.7.113,4,4,0.00,20.28,0.00,N/A
172.65.60.141,4,4,0.00,20.29,0.00,N/A
104.25.243.93,4,4,0.00,20.30,0.00,N/A
172.67.115.206,4,4,0.00,20.30,0.00,N/A
172.65.252.225,4,4,0.00,20.31,0.00,N/A
172.67.214.214,4,4,0.00,20.31,0.00,N/A
104.25.60.29,4,4,0.00,20.34,0.00,N/A
172.65.163.202,4,4,0.00,20.34,0.00,N/A
172.67.150.80,4,4,0.00,20.36,0.00,N/A
104.25.151.181,4,4,0.00,20.36,0.00,N/A
172.66.148.35,4,4,0.00,20.36,0.00,N/A
172.64.101.204,4,4,0.00,20.36,0.00,N/A
104.21.193.126,4,4,0.00,20.37,0.00,N/A
104.25.22.242,4,4,0.00,20.41,0.00,N/A
104.21.217.14,4,4,0.00,20.44,0.00,N/A
104.26.7.44,4,4,0.00,20.44,0.00,N/A
104.21.211.8,4,4,0.00,20.46,0.00,N/A
104.21.102.98,4,4,0.00,20.47,0.00,N/A
104.25.242.163,4,4,0.00,20.47,0.00,N/A
104.21.219.197,4,4,0.00,20.48,0.00,N/A
104.25.95.21,4,4,0.00,20.48,0.00,N/A
104.25.32.212,4,4,0.00,20.49,0.00,N/A
104.24.209.150,4,4,0.00,20.50,0.00,N/A
104.25.145.52,4,4,0.00,20.51,0.00,N/A
172.64.88.6,4,4,0.00,20.51,0.00,N/A
172.65.247.102,4,4,0.00,20.53,0.00,N/A
172.67.182.193,4,4,0.00,20.57,0.00,N/A
172.67.139.231,4,4,0.00,20.57,0.00,N/A
104.25.203.148,4,4,0.00,20.57,0.00,N/A
104.25.254.238,4,4,0.00,20.58,0.00,N/A
104.25.139.189,4,4,0.00,20.59,0.00,N/A
104.21.95.188,4,4,0.00,20.59,0.00,N/A
172.65.154.85,4,4,0.00,20.61,0.00,N/A
172.67.250.251,4,4,0.00,20.64,0.00,N/A
104.27.77.78,4,4,0.00,20.64,0.00,N/A
104.25.20.229,4,4,0.00,20.64,0.00,N/A
104.25.56.114,4,4,0.00,20.66,0.00,N/A
104.21.93.252,4,4,0.00,20.67,0.00,N/A
104.27.67.239,4,4,0.00,20.69,0.00,N/A
104.25.247.153,4,4,0.00,20.70,0.00,N/A
104.27.10.229,4,4,0.00,20.71,0.00,N/A
172.67.240.169,4,4,0.00,20.74,0.00,N/A
104.27.22.24,4,4,0.00,20.75,0.00,N/A
162.159.132.61,4,4,0.00,20.76,0.00,N/A
104.24.213.143,4,4,0.00,20.78,0.00,N/A
104.25.92.213,4,4,0.00,20.81,0.00,N/A
162.159.46.107,4,4,0.00,20.82,0.00,N/A
172.65.45.80,4,4,0.00,20.83,0.00,N/A
172.67.180.10,4,4,0.00,20.83,0.00,N/A
104.27.53.51,4,4,0.00,20.84,0.00,N/A
104.25.61.44,4,4,0.00,20.84,0.00,N/A
104.21.96.81,4,4,0.00,20.88,0.00,N/A
104.24.194.39,4,4,0.00,20.89,0.00,N/A
172.67.239.230,4,4,0.00,20.89,0.00,N/A
162.159.137.254,4,4,0.00,20.89,0.00,N/A
104.25.232.125,4,4,0.00,20.90,0.00,N/A
104.27.28.176,4,4,0.00,20.91,0.00,N/A
104.21.98.109,4,4,0.00,20.92,0.00,N/A
104.27.120.156,4,4,0.00,20.94,0.00,N/A
104.16.198.38,4,4,0.00,20.94,0.00,N/A
104.21.101.89,4,4,0.00,20.96,0.00,N/A
162.159.154.91,4,4,0.00,20.96,0.00,N/A
104.24.221.69,4,4,0.00,20.97,0.00,N/A
104.24.210.112,4,4,0.00,20.97,0.00,N/A
104.25.217.181,4,4,0.00,20.99,0.00,N/A
104.25.69.58,4,4,0.00,21.01,0.00,N/A
104.27.69.234,4,4,0.00,21.02,0.00,N/A
104.27.9.9,4,4,0.00,21.02,0.00,N/A
172.67.83.200,4,4,0.00,21.02,0.00,N/A
104.25.218.32,4,4,0.00,21.02,0.00,N/A
104.16.2.122,4,4,0.00,21.03,0.00,N/A
104.25.9.170,4,4,0.00,21.03,0.00,N/A
172.67.95.81,4,4,0.00,21.03,0.00,N/A
172.64.77.94,4,4,0.00,21.04,0.00,N/A
